Player,Session,Total Distance (m),RPE,Avg Speed (m/min),Top Speed (m/s),HSD (m),HSD Ratio
Mason,9/6 Training Total,2650.0,7.0,50.96153846153846,6.2,1.0,0.0003773584905660377
Mason,9/6 Game 1,430.0,7.0,61.42857142857143,6.6,1.0,0.002325581395348837
Mason,9/6 Game 2,460.0,7.0,57.5,7.2,9.0,0.01956521739130435
Mason,9/6 Game 3,460.0,7.0,76.66666666666667,6.8,6.0,0.013043478260869565
Mason,9/6 Game 4,760.0,7.0,58.46153846153846,8.8,14.0,0.018421052631578946
Mason,9/6 Game Total,2110.0,7.0,62.05882352941177,8.8,30.0,0.014218009478672985
Jackson,3/8 Training 1 ,3370.0,6.0,45.54054054054054,9.6,110.0,0.032640949554896145
Jackson,3/8 Training 2,420.0,6.0,42.0,6.1,1.0,0.002380952380952381
Jackson,3/8 Training Total,3790.0,6.0,45.11904761904762,9.6,111.0,0.02928759894459103
Jackson,3/8 Game 1,550.0,6.0,61.111111111111114,6.5,3.0,0.005454545454545455
Jackson,3/8 Game 2,640.0,6.0,71.11111111111111,6.4,6.0,0.009375
Jackson,3/8 Game Total,1190.0,6.0,66.11111111111111,6.5,9.0,0.007563025210084034
Jackson,3/29 Training 1,2410.0,6.0,58.78048780487805,7.1,2.0,0.0008298755186721991
Jackson,3/29 Training 2,740.0,6.0,49.333333333333336,5.7,0.0,0.0
Jackson,3/29 Training 3,950.0,6.0,67.85714285714286,7.5,25.0,0.02631578947368421
Jackson,3/29 Training 4,1240.0,6.0,59.04761904761905,7.2,14.0,0.01129032258064516
Jackson,3/29 Training 5,710.0,6.0,54.61538461538461,5.6,0.0,0.0
Jackson,3/29 Training 6,470.0,6.0,58.75,6.0,1.0,0.002127659574468085
Jackson,3/29 Training Total,6520.0,6.0,58.214285714285715,7.5,42.0,0.006441717791411043
Jackson,3/29 Game 1,500.0,6.0,83.33333333333333,7.3,1.0,0.002
Jackson,3/29 Game 2,470.0,6.0,67.14285714285714,8.4,60.0,0.1276595744680851
